open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,close_time_utc,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1771487700000,2026-02-19 07:55:00 UTC,67217.49000000,67219.90000000,67168.93000000,67206.45000000,52.34513000,1771487999999,2026-02-19 07:59:59 UTC,3517376.52380250,6968,21.41143000,1438689.60562970
1771488000000,2026-02-19 08:00:00 UTC,67206.45000000,67206.45000000,67060.04000000,67151.29000000,101.99157000,1771488299999,2026-02-19 08:04:59 UTC,6845924.96877460,14465,22.56790000,1514335.00879910
1771488300000,2026-02-19 08:05:00 UTC,67151.29000000,67151.30000000,67048.88000000,67100.19000000,70.89079000,1771488599999,2026-02-19 08:09:59 UTC,4755435.96785670,10092,16.53475000,1109094.08646790
1771488600000,2026-02-19 08:10:00 UTC,67100.20000000,67125.47000000,67034.00000000,67062.91000000,62.48924000,1771488899999,2026-02-19 08:14:59 UTC,4190885.88195190,11191,27.70476000,1857919.79311940
1771488900000,2026-02-19 08:15:00 UTC,67062.91000000,67100.00000000,67013.41000000,67099.99000000,20.58812000,1771489199999,2026-02-19 08:19:59 UTC,1380940.37375760,10964,8.40592000,563825.17564400
1771489200000,2026-02-19 08:20:00 UTC,67099.99000000,67100.00000000,66956.00000000,66962.69000000,26.63903000,1771489499999,2026-02-19 08:24:59 UTC,1785443.79209460,11514,9.47900000,635313.02830860
1771489500000,2026-02-19 08:25:00 UTC,66962.69000000,66962.70000000,66872.60000000,66914.43000000,52.89912000,1771489799999,2026-02-19 08:29:59 UTC,3539743.45042890,14588,21.46473000,1436258.00888720
1771489800000,2026-02-19 08:30:00 UTC,66914.44000000,66935.23000000,66785.56000000,66844.49000000,68.24958000,1771490099999,2026-02-19 08:34:59 UTC,4562578.88389040,22698,27.41255000,1832503.08419520
1771490100000,2026-02-19 08:35:00 UTC,66844.50000000,66947.95000000,66844.49000000,66937.89000000,30.42007000,1771490399999,2026-02-19 08:39:59 UTC,2034922.04452340,12899,19.78512000,1323462.18247860
1771490400000,2026-02-19 08:40:00 UTC,66937.89000000,66955.06000000,66900.37000000,66933.82000000,28.26704000,1771490699999,2026-02-19 08:44:59 UTC,1891828.05616690,10946,10.40328000,696264.52564300
1771490700000,2026-02-19 08:45:00 UTC,66933.81000000,66933.81000000,66849.45000000,66898.69000000,27.86048000,1771490999999,2026-02-19 08:49:59 UTC,1863764.51867030,13076,14.69219000,982851.92135950
1771491000000,2026-02-19 08:50:00 UTC,66898.69000000,66928.04000000,66832.92000000,66920.35000000,23.99272000,1771491299999,2026-02-19 08:54:59 UTC,1604965.84620120,11965,8.46354000,566085.69113900
1771491300000,2026-02-19 08:55:00 UTC,66920.35000000,66979.22000000,66901.49000000,66966.12000000,45.47593000,1771491599999,2026-02-19 08:59:59 UTC,3044208.12415000,9190,27.73350000,1856556.45625340
1771491600000,2026-02-19 09:00:00 UTC,66966.12000000,67008.00000000,66886.63000000,66886.63000000,61.45821000,1771491899999,2026-02-19 09:04:59 UTC,4115207.78809760,18487,31.00064000,2076099.62954180
1771491900000,2026-02-19 09:05:00 UTC,66886.63000000,67010.00000000,66877.68000000,67006.70000000,24.94448000,1771492199999,2026-02-19 09:09:59 UTC,1669653.68467750,14761,13.51830000,904950.32908780
1771492200000,2026-02-19 09:10:00 UTC,67006.69000000,67045.40000000,67006.69000000,67019.53000000,18.81648000,1771492499999,2026-02-19 09:14:59 UTC,1261181.47570540,8299,10.76313000,721380.95014090
1771492500000,2026-02-19 09:15:00 UTC,67019.54000000,67038.00000000,66995.49000000,67012.71000000,19.23771000,1771492799999,2026-02-19 09:19:59 UTC,1289293.61314270,7363,10.80557000,724153.76663850
1771492800000,2026-02-19 09:20:00 UTC,67012.71000000,67191.83000000,66999.00000000,67157.34000000,43.73230000,1771493099999,2026-02-19 09:24:59 UTC,2934344.82711800,16359,34.19941000,2294486.37718530
1771493100000,2026-02-19 09:25:00 UTC,67157.34000000,67157.34000000,67083.20000000,67133.86000000,14.12925000,1771493399999,2026-02-19 09:29:59 UTC,948261.28452550,5840,9.05330000,607563.84199440
